"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1570759660.73681","1732071853.93625","2034770046.89827","2299121745.22896","2613355209.6605","2812835911.61748","2974343825.17753","3155991202.32536","3353890829.69432","3682829388.73052","3918312112.95982","4116617525.81257","4230474129.93775","4406932339.02124","4373179007.66877","4391420551.60988","4503186311.52599","4593250039.13268",
"Angola","AGO","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21688555102.418","21669763615.9997","24877095455.5928","29975887902.5964","33930711928.8491","40648619946.7296","44537380240.8251","42801571935.367","43884484819.7664","43264018874.2536","47886869625.3865","49418970474.5477","48618684452.0259","52262022202.4685","52790011922.6107","51919896024.5887","50046774014.2657","",
"Albania","ALB","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","1381262102.40166","1395708667.13981","1463594981.24069","1462874559.59867","1467917952.99755","1470287121.30509","1585453013.17875","1629903295.71539","1624298199.73582","1726273455.4281","1622856139.61259","970612797.019725","570144119.449627","584231467.806848","611793178.92525","688878684.814892","930097445.849253","774630643.458952","901469878.300928","1081148096.8705","1327276457.69011","1592498022.35399","1700918179.04552","1965191797.50752","2132141072.40272","2305801171.28983","2538387452.17041","2666148239.26486","2800950542.97471","2852737002.42551","2974273860.91727","3041626393.75697","2854538483.5193","2925620882.71034","2827266499.70607","2900287194.03252","2955513788.68099","3008023633.61546","3306499436.67636","3309257269.08782",
"Andorra","AND","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","761019486741.083","804859428535.232","804510271367.074","778001628989.497","812666558548.322","887461373679.556","923092989051.613","966831388199.237","977856545165.478","1025221482653.09","989065032252.347","1025763706543.16","1103899843313.52","1158481039307.67","1176203505238.97","1204297673441.65","1248591762790.49","1306112837436.21","1287693262177.54","1309136386103.48","1308857578742.87",
"United Arab Emirates","ARE","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119397329956.592","114981810252.375","123135789864.731","134661044017.873","139816429779.416","159138100436.07","154869966504.959","158855170530.526","148509984266.47","152227787365.555","165132407317.815","170845807885.162","176003526480.403","178863265008.86","188837813010.095","193224157458.379","192756561269.975","196136333445.218","200264942138.03",
"Argentina","ARG","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","44520929440.4102","45014992302.0731","46919612669.3735","51364874559.1827","57295550194.7511","56762557913.4173","60355211198.2704","62240643914.3779","62742142872.486","66530201794.238","65804352256.5726","66169993445.0244","71879861650.4315","65888747748.9788","70857685229.3878","69944364770.5217","62485963355.165","60480550582.2703","63733005781.2033","64162748792.3074","58612021762.2455","63670394081.6026","65807667178.8252","63470194515.738","58018891112.9169","54929206470.7599","60799743366.9823","67497900870.1064","71190236533.7945","75608552660.0852","72923362597.4079","77439831587.356","83922428002.1436","85555643756.5648","79889730213.7894","78135869454.2946","74079454708.4723","65666712388.2304","74966012412.1783","83073837932.135","88502201577.9391","96170848625.4511","101973170046.612","105105829488.819","98344013165.2887","107003102712.487","113242365716.77","110749757847.906","111360204064.491","107504874805.797","108998986493.918","102649622504.091","105178423743.741","101882129150.364","96813933090.7857",
"Armenia","ARM","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
