Percentile;Year;"npopem_999_i_CN
Employed population
Total population | units | all ages | individual
China";"npopem_999_i_US
Employed population
Total population | units | all ages | individual
USA";"wwealn_999_i_CN
Net national wealth to Net National Income Ratio
Total population | ratio | all ages | individual
China";"wwealn_999_i_US
Net national wealth to Net National Income Ratio
Total population | ratio | all ages | individual
USA";"anweal_992_i_CN
Market-value national wealth 
Total population | average income or wealth | adults | individual | Constant local | ppp | constant (2019)
China";"anweal_992_i_US
Market-value national wealth 
Total population | average income or wealth | adults | individual | Constant local | ppp | constant (2019)
USA"
pall;1870;;;;4.1276617;;
pall;1871;;;;4.1655927;;
pall;1872;;;;4.246439;;
pall;1873;;;;4.2347035;;
pall;1874;;;;4.4814105;;
pall;1875;;;;4.4681907;;
pall;1876;;;;4.6370625;;
pall;1877;;;;4.7037234;;
pall;1878;;;;4.7416911;;
pall;1879;;;;4.4683967;;
pall;1880;;;;4.2205634;;
pall;1881;;;;4.275743;;
pall;1882;;;;4.2697964;;
pall;1883;;;;4.3391838;;
pall;1884;;;;4.4365277;;
pall;1885;;;;4.5902152;;
pall;1886;;;;4.6420984;;
pall;1887;;;;4.7001185;;
pall;1888;;;;4.9143009;;
pall;1889;;;;4.7950411;;
pall;1890;;;;4.914156;;
pall;1891;;;;4.9436822;;
pall;1892;;;;4.8595505;;
pall;1893;;;;5.0270667;;
pall;1894;;;;5.3744087;;
pall;1895;;;;4.9907289;;
pall;1896;;;;5.2808967;;
pall;1897;;;;5.1138468;;
pall;1898;;;;5.1813393;;
pall;1899;;;;4.831121;;
pall;1900;;;;4.9308934;;
pall;1901;;;;4.5791645;;
pall;1902;;;;4.6448555;;
pall;1903;;;;4.7047639;;
pall;1904;;;;4.7203202;;
pall;1905;;;;4.5089335;;
pall;1906;;;;4.5018115;;
pall;1907;;;;4.7929578;;
pall;1908;;;;5.2370849;;
pall;1909;;;;4.9175563;;
pall;1910;;;;4.8064027;;
pall;1911;;;;5.1918974;;
pall;1912;;;;5.1654744;;
pall;1913;;;;5.020978;;63556.5
pall;1914;;;;5.6390119;;64491.898
pall;1915;;;;5.9330769;;69203.898
pall;1916;;;;5.3220716;;70782.602
pall;1917;;;;4.5738006;;59873.801
pall;1918;;;;3.8079064;;52738.199
pall;1919;;;;3.8970237;;51141.5
pall;1920;;;;3.5323558;;45347.898
pall;1921;;;;4.3493261;;50351.801
pall;1922;;;;4.5416527;;57069.5
pall;1923;;;;4.0680261;;57522.102
pall;1924;;;;4.2184343;;58887.699
pall;1925;;;;4.3747244;;62168.5
pall;1926;;;;4.3264227;;64352.801
pall;1927;;;;4.7089605;;68756.0
pall;1928;;;;5.2761407;;77870.602
pall;1929;;;;5.2153883;;80768.703
pall;1930;;;;5.3458486;;74530.602
pall;1931;;;;5.2202301;;65108.602
pall;1932;;;;5.5629334;;58627.898
pall;1933;;;;6.0441294;;61758.801
pall;1934;;;;5.542273;;63493.602
pall;1935;;;;5.2714171;;66298.898
pall;1936;;;;5.4345474;;75559.797
pall;1937;;;;4.9472494;;73233.797
pall;1938;;;;5.1537366;;70889.602
pall;1939;;;;4.9650984;;73073.602
pall;1940;;;;4.584116;;73183.0
pall;1941;;;;3.6506755;;69105.398
pall;1942;;;;2.8632932;;64091.801
pall;1943;;;;2.4985616;;64539.898
pall;1944;;;;2.6389077;;70365.297
pall;1945;;;;3.0091825;;77070.5
pall;1946;;;;3.5080254;;78541.203
pall;1947;;;;3.6684885;;79545.602
pall;1948;;;;3.5946567;;81588.398
pall;1949;;;;3.7729549;;82934.5
pall;1950;;;;3.5645182;;85316.102
pall;1951;;;;3.4192328;;87579.602
pall;1952;;;;3.4469419;;90553.797
pall;1953;;;;3.3395367;;90479.5
pall;1954;;;;3.4890759;;92593.5
pall;1955;;;;3.4454534;;97931.102
pall;1956;;;;3.5395074;;102542.7
pall;1957;;;;3.571615;;103669.2
pall;1958;;;;3.7481389;;105766.4
pall;1959;;;;3.6626768;;109673.2
pall;1960;;;;3.6591115;;111611.3
pall;1961;;;;3.7559536;;116064.5
pall;1962;;;;3.706953;;120292.4
pall;1963;;;;3.6665409;;122999.8
pall;1964;;;;3.6499085;;127442.0
pall;1965;;;;3.6411633;;133720.09
pall;1966;;;;3.5366151;;135914.8
pall;1967;;;;3.5962055;;140132.3
pall;1968;;;;3.6785755;;147525.41
pall;1969;;;;3.6362429;;147767.5
pall;1970;;;;3.6281331;;143868.2
pall;1971;;;;3.6421173;;145167.5
pall;1972;;;;3.7149184;;153473.59
pall;1973;;;;3.6540902;;157259.5
pall;1974;;;;3.5726814;;149411.5
pall;1975;;;;3.5859051;;145144.2
pall;1976;;;;3.5957003;;150854.2
pall;1977;;;;3.5694103;;154377.3
pall;1978;401520000.0;;3.7222307;3.5248556;;157878.41
pall;1979;410240000.0;;3.6959768;3.6706903;22890.8;165037.7
pall;1980;423610000.0;;3.6166942;3.9881051;23296.2;174112.2
pall;1981;437250000.0;;3.6863132;3.9859216;24882.3;175348.7
pall;1982;452950000.0;;3.8428802;4.0914702;27516.0;174091.7
pall;1983;464360000.0;;3.9374061;4.0264807;30385.2;174120.5
pall;1984;481970000.0;;3.7428359;3.7892711;34335.7;174791.7
pall;1985;498730000.0;;3.5589536;3.8428402;38542.0;180432.91
pall;1986;512820000.0;;3.7705619;4.0362782;42689.1;191301.2
pall;1987;527830000.0;;3.7693057;4.0465083;45029.7;197766.0
pall;1988;543340000.0;;3.6850705;3.979986;46392.9;202708.2
pall;1989;553290000.0;;4.0213929;4.0674949;47240.2;209676.91
pall;1990;647490000.0;;4.3182545;4.0515966;47316.8;208749.3
pall;1991;654910000.0;;4.3413654;4.0874572;51706.9;206355.09
pall;1992;661520000.0;;4.539434;4.0102472;59379.1;206432.09
pall;1993;668080000.0;;4.8755638;3.9678752;63901.0;205935.09
pall;1994;674550000.0;;4.6705226;3.8740957;64221.5;207611.59
pall;1995;680650000.0;;4.6461421;3.9363663;64249.7;215627.5
pall;1996;689500000.0;;4.7944493;4.0477705;68427.3;228735.3
pall;1997;698200000.0;;5.1906912;4.2126589;75734.7;246728.59
pall;1998;706370000.0;;5.550454;4.5035019;83307.2;273868.69
pall;1999;713940000.0;;5.8293066;4.852242;90056.3;303952.91
pall;2000;720850000.0;;6.1206998;4.881474;96674.2;315860.69
pall;2001;727970000.0;;6.034199;4.7656913;101230.1;306946.31
pall;2002;732800000.0;;5.9563532;4.5552559;108730.5;292702.81
pall;2003;737360000.0;;5.9779138;4.5810866;117907.8;297583.41
pall;2004;742640000.0;;6.0138242;4.878077;130169.9;325736.69
pall;2005;746470000.0;;6.1669074;5.1562805;147138.8;352268.91
pall;2006;749780000.0;;6.104401;5.3188219;163886.5;372476.41
pall;2007;753210000.0;;6.4455044;5.4072556;196701.3;373843.19
pall;2008;755640000.0;;6.3527994;4.763483;208271.2;322021.59
pall;2009;758280000.0;;6.3191053;4.2591524;223858.6;274779.81
pall;2010;761050000.0;;6.7921769;4.1583104;262643.0;274403.59
pall;2011;764200000.0;;6.7154447;4.0642662;278360.3;272519.41
pall;2012;767040000.0;;6.7263384;4.0480409;301594.2;277887.91
pall;2013;769770000.0;;6.9173763;4.4787908;338199.8;307892.59
pall;2014;772530000.0;;6.9379847;4.7641459;369568.8;334504.59
pall;2015;774510000.0;;7.1046375;4.8246841;400795.7;343005.31
