"","A","A-","A+","AA","AA-","AA+","AAA","B","B-","B+","BB","BB-","BB+","BBB","BBB-","BBB+","CC","CCC","CCC-","CCC+","D","SD"
"A",0.95944431996415,0.0239749047725745,0.0100829038763164,0,0.000224064530584808,0,0,0,0,0,0,0,0.000224064530584808,0.00112032265292404,0,0.00492941967286579,0,0,0,0,0,0
"A-",0.015354713313897,0.951020408163265,0.000194363459669582,0,0.000194363459669582,0,0,0,0,0,0.000388726919339164,0,0.000194363459669582,0.00621963070942663,0.00116618075801749,0.0252672497570457,0,0,0,0,0,0
"A+",0.0310880829015544,0.00561312607944732,0.947754749568221,0.000431778929188256,0.0129533678756477,0,0,0,0,0,0,0,0,0.000431778929188256,0,0.00172711571675302,0,0,0,0,0,0
"AA",0.00350877192982456,0,0.00467836257309942,0.946198830409357,0.039766081871345,0.00467836257309942,0,0,0,0,0,0,0,0,0,0.00116959064327485,0,0,0,0,0,0
"AA-",0.00589101620029455,0.00147275405007364,0.0331369661266568,0.0147275405007364,0.944035346097202,0,0,0,0,0,0,0,0,0,0.000736377025036819,0,0,0,0,0,0,0
"AA+",0,0,0,0.0462962962962963,0.00925925925925926,0.935185185185185,0.00925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAA",0,0,0,0.00740740740740741,0.00493827160493827,0.0172839506172839,0.97037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0.901252763448784,0.0372144436256448,0.0443994104642594,0.000184229918938836,0.00442151805453206,0.000184229918938836,0,0,0,0.00147383935151069,0.00239498894620486,0.00110537951363301,0.00626381724392041,0.000368459837877671,0.000736919675755343
"B-",0,0,0,0,0,0,0,0.0563951345374125,0.87172871360118,0.00700331736085514,0,0,0,0.000368595650571323,0,0,0.00663472171028382,0.0180611868779948,0.000368595650571323,0.0342793955031331,0.00331736085514191,0.00184297825285662
"B+",0,0,0,0,0,0,0,0.0396258503401361,0.00833333333333333,0.902040816326531,0.00459183673469388,0.0420068027210884,0,0.000170068027210884,0,0,0,0.000170068027210884,0.000170068027210884,0.00272108843537415,0.000170068027210884,0
"BB",0,0,0,0,0,0,0,0.00121629839854044,0.000810865599026961,0.00466247719440503,0.919521589296574,0.0277721467666734,0.0395296979525644,0.000405432799513481,0.00466247719440503,0.00020271639975674,0.000608149199270221,0.00020271639975674,0,0.000405432799513481,0,0
"BB-",0,0,0,0,0,0,0,0.0073469387755102,0.00146938775510204,0.0336326530612245,0.038530612244898,0.914775510204082,0.00293877551020408,0,0.000489795918367347,0.000163265306122449,0,0.000326530612244898,0,0.000163265306122449,0,0.000163265306122449
"BB+",0,0,0,0,0,0,0,0.00157026956294164,0.000261711593823606,0.00235540434441246,0.0251243130070662,0.00942161737764983,0.919916252289976,0.00314053912588328,0.0374247579167757,0.000261711593823606,0,0.000261711593823606,0,0.000261711593823606,0,0
"BBB",0.000217983651226158,0.00196185286103542,0,0,0,0,0,0,0,0.000326975476839237,0.000544959128065395,0.000435967302452316,0.00239782016348774,0.953351498637602,0.0200544959128065,0.020708446866485,0,0,0,0,0,0
"BBB-",0.000144634075788256,0.000144634075788256,0.000144634075788256,0,0,0,0,0.000144634075788256,0.000433902227364767,0.000578536303153023,0.00549609487995372,0.00188024298524732,0.0141741394272491,0.0297946196123807,0.945617587503616,0.00144634075788256,0,0,0,0,0,0
"BBB+",0.000604047115675023,0.0188764723648445,0,0,0,0,0,0,0,0,0,0.000604047115675023,0.000906070673512534,0.025369978858351,0.00468136514648143,0.948807006946542,0,0.000151011778918756,0,0,0,0
"CC",0,0,0,0,0,0,0,0.0202020202020202,0.0909090909090909,0.0101010101010101,0,0,0,0,0,0,0.505050505050505,0.0808080808080808,0.0404040404040404,0.0505050505050505,0.161616161616162,0.0404040404040404
"CCC",0,0,0,0,0,0,0,0.010752688172043,0.0349462365591398,0.00268817204301075,0,0,0,0,0,0,0.0456989247311828,0.741935483870968,0.0376344086021505,0.0564516129032258,0.0645161290322581,0.00537634408602151
"CCC-",0,0,0,0,0,0,0,0,0.0117647058823529,0,0,0,0,0,0,0,0.0470588235294118,0.0117647058823529,0.776470588235294,0.0588235294117647,0.0941176470588235,0
"CCC+",0,0,0,0,0,0,0,0.0142671854734112,0.0752269779507134,0.00518806744487678,0,0,0,0,0,0,0.0155642023346304,0.0609597924773022,0.0181582360570687,0.780804150453956,0.0207522697795071,0.00907911802853437
"D",0,0,0,0,0,0,0,0.0588235294117647,0.0180995475113122,0.0271493212669683,0.00452488687782805,0.00904977375565611,0,0,0.00904977375565611,0,0,0.00452488687782805,0.00452488687782805,0.00452488687782805,0.85972850678733,0
"SD",0,0,0,0,0,0,0,0,0.0535714285714286,0.0178571428571429,0,0,0,0,0,0,0,0.0535714285714286,0,0.0892857142857143,0.0178571428571429,0.767857142857143
